FIPS,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,Teen Birth Rate,% Uninsured,% With Annual Mammogram,% Vaccinated,% Children in Poverty,80th Percentile Income,20th Percentile Income,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
53025,22.94136973,4.9081753813,4.4562625234,6.0617835632,17.732431275,33.3,7.7,23.2,16.146134298,24,35.858212024,12.484112241,37,30,18.3,103402,26168,19.064837463,278.46601314,8.7,15.814487053,73.623556352,22.4
53027,19.652866427,4.8593954835,4.6223078356,7.4823439588,17.818421503,35.6,6.8,24.6,20.003479244,11,25.151649652,9.4327608791,34,42,19.5,96225,21917,18.25210084,243.53339578,5.2,14.998218739,76.96133194,34.2
53029,14.009563389,3.7117752203,4.0419677211,5.1282051282,13.987245945,30.7,7.9,16.6,20.658639431,12,12.978037168,6.5867489539,37,44,9,122797,32942,17.4580082,107.36796898,6.1,14.988978692,72.571780917,31.8
53031,14.48206663,3.8313751141,4.1521290698,5.6775170326,13.080830454,21.3,7.5,11.5,22.124142913,8,8.9775561097,9.0452003489,41,41,21.4,106738,25396,24.749679076,211.64542009,5.1,15.857605178,72.789886661,30.1
53033,12.373265087,3.2295437258,3.8482022596,6.6466393429,10.683601749,22.5,8.7,13.2,19.349473451,174,8.753634963,6.1874144986,41,53,7.9,184338,39728,18.028806925,340.63880554,7.7,17.561319508,61.586759535,44.5
53035,15.161433988,4.1435218614,4.1330469876,6.3196137483,14.377956071,30.2,7.9,17.3,18.829696564,22,14.827319692,5.8733187509,40,48,9.3,132058,34535,20.495961612,263.23249504,4.2,14.9176494,69.093047877,33.6
53037,15.937438626,4.033615031,4.2600945108,5.9633027523,14.666303016,27.5,7.4,20.9,19.136973312,15,6.7179951691,8.3840724177,41,39,11.7,106463,20527,15.387547649,110.40477878,6,21.444759207,73.616768111,23.1
53039,18.022037411,4.552654866,4.4462810439,7.1378586424,15.810868433,27.4,7,17.7,19.678010584,4,20.574041148,11.107762777,38,28,18.3,104278,23362,13.174077578,87.414652586,6,16.130988478,69.521864488,28.1
53041,19.249332971,4.5754542747,4.4492408083,6.6093326963,18.048156126,33,7.2,23.5,17.66851198,21,29.98839159,8.9381578734,37,37,14.6,100239,23171,20.249314088,193.19602377,5.7,17.712668553,79.45875871,36.7
53043,16.357577381,4.1923207257,4.5580838357,5.4913294798,16.223240294,33.4,6.7,23.5,21.90637227,5,15.959872321,7.6397672654,44,22,14.2,103711,24983,12.483399734,92.264361676,7.7,10.87202718,69.535946141,36.6
